model,year,month,actual_mwh,predicted_mwh,mape_pct,accuracy_pct,daily_mape_pct,rmse,r2
단순선형추세,2026,1,81954.6,93334.5,13.8856,86.1144,14.0802,383.6,-5.843781
피처OLS회귀,2026,1,81954.6,82151.3,0.24,99.76,2.9029,92.68,0.600484
AutoGluon,2026,1,81954.6,82295.9,0.4165,99.5835,2.9015,98.02,0.553133
단순선형추세,2026,2,74551.7,80662.7,8.197,91.803,8.3597,248.51,-2.444426
피처OLS회귀,2026,2,74551.7,74816.3,0.3549,99.6451,2.5896,80.88,0.635129
AutoGluon,2026,2,74551.7,74694.3,0.1913,99.8087,2.4238,80.2,0.641298
단순선형추세,2026,3,88611.9,85262.7,3.7796,96.2204,4.6094,159.12,-0.104683
피처OLS회귀,2026,3,88611.9,88091.9,0.5868,99.4132,2.8906,94.32,0.611881
AutoGluon,2026,3,88611.9,88455.0,0.1771,99.8229,2.3703,95.35,0.603387
단순선형추세,2026,4,89363.7,82841.2,7.2988,92.7012,7.1662,240.97,-1.205855
피처OLS회귀,2026,4,89363.7,89446.7,0.0929,99.9071,2.9361,99.18,0.626311
AutoGluon,2026,4,89363.7,89789.0,0.4759,99.5241,1.9925,76.66,0.776737
단순선형추세,2026,5,91809.2,86433.0,5.8558,94.1442,5.7872,197.58,-1.202819
피처OLS회귀,2026,5,91809.2,92433.4,0.6799,99.3201,2.7166,93.47,0.506951
AutoGluon,2026,5,91809.2,91316.1,0.5371,99.4629,2.4843,101.1,0.423257
